City,Bathroom,Balcony,BHK,Area (Sqft),Floor Ratio,New Property,Resale,Furnished,Semi-Furnished,Freehold,Co-operative Society,Leasehold,Power Of Attorney,Age Less than 5 Years,Age 5 to 10 Years,Age 15 to 20 Years,New Construction,Age above 20 Years,Main Road,Garden/Park,Pool,Parking Spaces,Amount (Lac)
Ahmedabad,3,2,3,1200,0.78,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,85
Ahmedabad,2,2,2,1143,1.0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,52
Ahmedabad,3,3,3,1181,0.33,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,92
Ahmedabad,3,1,3,965,0.46,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,75
Ahmedabad,3,1,3,1505,0.21,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,70
Ahmedabad,3,1,3,1700,0.14,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,80
Ahmedabad,2,2,2,850,1.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,50
Ahmedabad,3,1,3,1008,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,85
Ahmedabad,2,2,2,1260,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,75
Ahmedabad,2,1,2,1185,0.57,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,60
Ahmedabad,2,1,2,1179,0.62,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,58
Ahmedabad,3,1,3,1017,0.46,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,2,82
Ahmedabad,3,1,3,1107,0.93,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,97
Ahmedabad,3,1,3,1485,0.69,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,65
Ahmedabad,3,2,3,1629,0.33,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,95
Ahmedabad,2,1,2,880,0.9,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,70
Ahmedabad,2,2,2,1260,0.83,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,60
Ahmedabad,2,1,2,1125,0.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,65
Ahmedabad,3,1,3,955,0.38,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,85
Ahmedabad,3,1,3,968,0.64,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,80
Ahmedabad,3,2,3,1158,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,75
Ahmedabad,2,2,2,1134,0.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,60
